item.copper_pickaxe 銅鎬
community.literal.0155.allumeria-networking-steamserverconnection.onconnecting.001 {0} 正在連線
community.literal.0155.allumeria-networking-steamserverconnection.onconnecting.002 {0} 已經連線，卻又傳送了連線要求！
community.literal.0155.allumeria-networking-steamserverconnection.tick.002 正在關閉連線
community.literal.0155.allumeria-rendering-gamecamera.pollinput.001 鏡頭
community.literal.0155.allumeria-settings-gamesettings.cctor.001 自動
community.literal.0155.allumeria-settings-gamesettings.cctor.003 下
community.literal.0155.allumeria-settings-gamesettings.cctor.004 自由
community.literal.0155.allumeria-settings-gamesettings.cctor.005 前方
community.literal.0155.allumeria-settings-gamesettings.cctor.006 開啟
community.literal.0155.allumeria-settings-gamesettings.cctor.007 重設
community.literal.0155.allumeria-settings-gamesettings.cctor.008 上
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.buildmenu.001 再見！
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.buildmenu.002 舒適度
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.buildmenu.003 這是一段用於介面排版測試的示例文字，用來確認長段落顯示、換行與閱讀效果。
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.buildmenu.004 商人
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.buildmenu.005 商店
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.001 指派房間
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.002 檢查舒適度
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.003 開放房間
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.004 房間設定
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.005 房間名稱
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.006 選擇一名 NPC 搬到這裡。
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.007 狀態
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.buildmenu.008 尚未檢查
community.literal.0155.allumeria-ui-blockmenus-blockmenuroomconfig.onmenuopen.001 關閉房間
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.001 置中對齊
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.002 靠左對齊
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.003 完成
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.004 發光
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.005 超大型告示牌
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.006 超大型文字
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.007 大型告示牌
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.008 大型文字
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.009 第 1 行
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.010 中型告示牌
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.011 中型文字
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.012 一般
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.013 小型告示牌
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.014 小型文字
community.literal.0155.allumeria-ui-blockmenus-blockmenusignedit.buildmenu.015 極小文字
community.literal.0155.allumeria-ui-blockmenus-blockmenustructurelatch.buildmenu.001 儲存
community.literal.0155.allumeria-ui-containers-craftingcontainer.render.001 製作
community.literal.0155.allumeria-ui-containers-equipmentcontainer.render.003 裝備
community.literal.0155.allumeria-ui-containers-inserts-creativeinsert.ctor.002 搜尋……
community.literal.0155.allumeria-ui-containers-inventorycontainer.render.001 物品欄
community.literal.0155.allumeria-ui-containers-recipebook.render.001 製作方式：
community.literal.0155.allumeria-ui-containers-recipebook.render.002 可用來製作：
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.001 允許作弊：{0}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.003 取消
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.004 角色名稱：{0}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.005 角色外觀：{0}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.006 建立
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.007 建立新角色
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.009 刪除角色（按住以確認）
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.010 輸入角色名稱
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.011 資料夾
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.012 建立雲端存檔
community.literal.0155.allumeria-ui-menus-characterselectionmenu.buildmenu.013 世界資訊
community.literal.0155.allumeria-ui-menus-characterselectionmenu.update.001 {0}\n雲端存檔：{1}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.update.002 {0}\n版本：{1}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.update.003 {0} 資訊
community.literal.0155.allumeria-ui-menus-characterselectionmenu.update.007 上次遊玩：{0}
community.literal.0155.allumeria-ui-menus-characterselectionmenu.update.009 建立本機存檔
community.literal.0155.allumeria-ui-menus-compendiummenu.buildmenu.001 冒險指南
community.literal.0155.allumeria-ui-menus-compendiummenu.buildmenu.003 圖鑑
community.literal.0155.allumeria-ui-menus-compendiummenu.buildmenu.004 魚類
community.literal.0155.allumeria-ui-menus-compendiummenu.buildmenu.005 配方
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.001 Allumeria 版本 {0}\n©2026 Infinimelon，保留所有權利。\n感謝大家一直以來的支持！<3
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.003 Allumeria 不包含生成式 AI 的輸出。\n所有材質、音效、模型與程式碼\n皆由人類製作。
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.005 Bluesky 社群
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.006 Discord 社群
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.007 如何支持 Allumeria\n你可以將 Allumeria 分享給其他人。\n捐款方式請參閱 Discord。
community.literal.0155.allumeria-ui-menus-creditsmenu.buildmenu.008 Steam 平台
community.literal.0155.allumeria-ui-menus-disconnectmenu.buildmenu.002 已被踢出伺服器。\n原因：伺服器已停止。
community.literal.0155.allumeria-ui-menus-ingamehud.render.003 已儲存！
community.literal.0155.allumeria-ui-menus-ingamehud.render.004 正在儲存……
community.literal.0155.allumeria-ui-menus-ingamehud.render.005 你死了！
community.literal.0155.allumeria-ui-menus-loadscreen.buildmenu.001 正在生成世界
community.literal.0155.allumeria-ui-menus-loadscreen.buildmenu.002 提示
community.literal.0155.allumeria-ui-menus-loadscreen.setbartoworldgenstuff.003 正在構築世界
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.002 關閉此訊息
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.003 製作人員
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.004 試玩版
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.006 多人遊戲
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.007 選項
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.008 總之，玩得開心！:)
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.009 離開遊戲
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.010 單人遊戲
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.012 這是 Allumeria 的試玩版。\n只包含森林生態域與相關進度。\n作弊功能已停用，部分物品也無法使用。\n請將遊戲加入 Steam 願望清單，以便在正式推出時收到通知。\n若有建議、想法或錯誤回報，\n歡迎加入 Discord。\n祝你玩得愉快！
community.literal.0155.allumeria-ui-menus-mainmenu.buildmenu.013 加入 Steam 願望清單！
community.literal.0155.allumeria-ui-menus-mainmenu.render.001 Allumeria 版本 {0} ©2026 Infinimelon
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.003 透過 IP 連線
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.004 透過 Steam 連線
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.005 輸入 IP
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.006 使用 Steam 個人檔案上的「加入遊戲」按鈕，\n即可加入朋友的遊戲。
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.007 或輸入 IP 位址直接連線。
community.literal.0155.allumeria-ui-menus-multiplayermenu.buildmenu.008 功能施工中。\n多人遊戲仍在開發中。\n暫時可能會有錯誤或奇怪的狀況。
community.literal.0155.allumeria-ui-menus-multiplayermenu.setjoinfriend.001 連線至：{0}
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.004 主持多人遊戲
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.005 透過 IP 主持遊戲\n實驗性功能，僅供測試。
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.006 透過 Steam 主持遊戲\n朋友可從你的 Steam 個人檔案加入。
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.007 官方 Wiki
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.009 已暫停
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.010 繼續遊戲
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.012 儲存並離開
community.literal.0155.allumeria-ui-menus-pausemenu.buildmenu.013 狀態：\n離線。
community.literal.0155.allumeria-ui-menus-pausemenu.update.003 狀態：\n{0}
community.literal.0155.allumeria-ui-menus-settingsmenu.populateoptions.001 輸入通道
community.literal.0155.allumeria-ui-menus-settingsmenu.refreshpacklist.001 已停用的資源包
community.literal.0155.allumeria-ui-menus-settingsmenu.refreshpacklist.002 已啟用的資源包
community.literal.0155.allumeria-ui-menus-settingsmenu.refreshpacklist.003 請注意\n變更只會在重新啟動遊戲後套用
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.001 抽象
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.005 建立新世界
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.006 正在建立新世界
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.007 預設世界
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.008 刪除世界（按住以確認）
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.009 試玩世界（僅森林）
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.010 輸入世界名稱
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.011 輸入世界種子碼
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.012 平坦世界
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.013 浮空島
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.015 懸垂地形
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.016 隨機
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.017 虛空世界
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.019 世界名稱：{0}
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.020 世界種子碼：{0}
community.literal.0155.allumeria-ui-menus-worldselectionmenu.buildmenu.021 世界類型：{0}
community.literal.0155.allumeria-ui-menus-worldselectionmenu.update.001 {0}\n雲端存檔：{1}
community.literal.0155.allumeria-ui-menus-worldselectionmenu.update.002 {0}\n第 {1} 天
community.literal.0155.allumeria-ui-menus-worldselectionmenu.update.003 {0}\n種子碼：{1}
community.literal.0155.allumeria-ui-uinodes-tooltiprenderer.rendersellvalue.001 無價值
community.literal.0155.allumeria-ui-uinodes-uiboolvalue.ctor.001 開
community.literal.0155.allumeria-ui-uinodes-uiboolvalue.layout.001 關
community.literal.0155.allumeria-ui-uinodes-uikeybindentry.ctor.001 編輯
community.literal.0155.allumeria-ui-uinodes-uikeybindentry.render.001 請按下按鍵
community.literal.0155.allumeria-ui-uinodes-uitextchat.ctor.001 輸入聊天訊息，或使用「/」指令
community.literal.0155.allumeria-ui-uinodes-uiworldbutton.render.002 雲端存檔
community.literal.0155.allumeria-ui-uinodes-uiworldbutton.render.003 存檔格式無效－詳情請參閱更新說明
community.literal.0155.allumeria-ui-uinodes-uiworldbutton.render.004 本機存檔
community.literal.0155.allumeria-ui-uinodes-uiworldbutton.render.005 這是遊戲當機時建立的復原存檔
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.ctor.002 未命名房間
community.literal.0155.allumeria-game.ctor.001 初始化
community.literal.0155.allumeria-game.onload.013 正在載入資源
community.literal.0155.allumeria-game.onload.021 正在排入多執行緒載入
community.literal.0155.allumeria-game.onload.023 正在初始化渲染器
community.literal.0155.allumeria-game.onload.024 渲染器載入完成
community.literal.0155.allumeria-game.setupgame.006 正在套用設定
community.literal.0155.allumeria-game.setupgame.007 正在取得音訊裝置
community.literal.0155.allumeria-game.onload.014 正在載入設定
community.literal.0155.allumeria-game.setupgame.013 正在載入翻譯
community.literal.0155.allumeria-game.setupgame.014 正在載入介面
community.literal.0155.allumeria-game.setupgame.015 正在註冊方塊實體
community.literal.0155.allumeria-game.setupgame.016 正在註冊方塊與物品
community.literal.0155.allumeria-game.setupgame.020 多執行緒載入完成
community.literal.0155.allumeria-input-inputchannel.ctor.002 無
community.literal.0155.allumeria-networking-server.ctor.001 離線。
community.literal.0155.allumeria-networking-server.start.004 失敗：未偵測到 Steam 用戶端。
community.literal.0155.allumeria-networking-server.start.008 正在啟動伺服器……
community.literal.0155.allumeria-networking-server.start.009 Steam 伺服器已啟動。
community.literal.0155.allumeria-ui-blockmenus-blockmenudialogue.onmenuopen.003 如果你看到這則訊息，表示發生了錯誤。請回報此問題。
community.literal.0155.allumeria-ui-uinodes-uitext.ctor.001 文字
community.literal.0155.allumeria-items-crafting-craftingstation.ctor.001 未知
